dish_id,name,category,is_quick,is_meal_prep,season,cuisine,notes
D001,Aachener Printen-Parfait,Dessert,FALSE,FALSE,,,
D002,Aal Grün (Berliner Art),Hauptgericht,FALSE,FALSE,,,
D003,Aalrauch-Forellenaufstrich,Aufstrich,FALSE,FALSE,,,
D004,Agnolotti mit Ricotta-Spinat,Hauptgericht,FALSE,FALSE,,,
D005,Albondigas in Tomatensauce,Hauptgericht,FALSE,FALSE,,,
D006,Apfelkompott,Süßspeise,FALSE,FALSE,,,
D007,Apfelpfannkuchen,Süßspeise,FALSE,FALSE,,,
D008,Apfelstrudel,Süßspeise,FALSE,FALSE,,,
D009,Arancini (gefüllte Reisbällchen),Snack,FALSE,FALSE,,,
D010,Asia-Gemüsepfanne mit Tofu,Hauptgericht,FALSE,FALSE,,,
D011,Aglio e Olio (Spaghetti),Pasta,FALSE,FALSE,,,
D012,Amatriciana (Pasta),Pasta,FALSE,FALSE,,,
D013,Arrabbiata (Pasta),Pasta,FALSE,FALSE,,,
D014,Artischockenrisotto,Hauptgericht,FALSE,FALSE,,,
D015,Allgäuer Käsespätzle,Hauptgericht,FALSE,FALSE,,,
D016,Antipasti-Gemüse aus dem Ofen,Beilage,FALSE,FALSE,,,
D017,Apfelrotkohl (Beilage),Beilage,FALSE,FALSE,,,
D018,Ajo Blanco (Mandel-Knoblauchsuppe),Suppe,FALSE,FALSE,,,
D019,Ananas-Curry (Huhn),Hauptgericht,FALSE,FALSE,,,
D020,Ananas-Curry (Tofu),Hauptgericht (vegetarisch),FALSE,FALSE,,,
D021,Austernpilz-Geschnetzeltes (vegan),Hauptgericht (vegan),FALSE,FALSE,,,
D022,Ajvar-Hähnchenpfanne,Hauptgericht,FALSE,FALSE,,,
D023,Arabische Linsensuppe,Suppe,FALSE,FALSE,,,
D024,Ajiaco (Kartoffelsuppe),Suppe,FALSE,FALSE,,,
D025,Arme Ritter (klassisch),Süßspeise,FALSE,FALSE,,,
D026,Arme Ritter (pikant),Snack,FALSE,FALSE,,,
D027,Artischockensalat (mediterran),Salat,FALSE,FALSE,,,
D028,Auberginenröllchen (Ricottafüllung),Vorspeise,FALSE,FALSE,,,
D029,Auberginenröllchen (vegane Füllung),Vorspeise,FALSE,FALSE,,,
D030,Auberginen-Curry (indisch),Hauptgericht,FALSE,FALSE,,,
D031,Auberginen-Curry (mit Huhn),Hauptgericht,FALSE,FALSE,,,
D032,Austern (Gratin),Vorspeise,FALSE,FALSE,,,
D033,Avocado-Salat (frisch),Salat,FALSE,FALSE,,,
D034,Avocado-Suppe (kalt),Suppe,FALSE,FALSE,,,
D035,Avo-Toast (klassisch),Snack,FALSE,FALSE,,,
D036,Avo-Toast (mit Ei),Snack,FALSE,FALSE,,,
D037,"Avo-Toast (vegan, Tomate)",Snack,FALSE,FALSE,,,
D038,Ayran (Getränk),Getränk,FALSE,FALSE,,,
D039,Açaí-Bowl (klassisch),Frühstück,FALSE,FALSE,,,
D040,Açaí-Bowl (mit Erdnussbutter),Frühstück,FALSE,FALSE,,,
D041,Apfel-Crumble,Dessert,FALSE,FALSE,,,
D042,Apfel-Birnen-Kompott,Dessert,FALSE,FALSE,,,
D043,Aprikosenknödel (österreichisch),Dessert,FALSE,FALSE,,,
D044,Aligot (Kartoffel-Käse-Püree),Beilage,FALSE,FALSE,,,
D045,Anatolischer Bulgursalat (Kisir),Salat,FALSE,FALSE,,,
D046,Arroz con Pollo (Huhn),Hauptgericht,FALSE,FALSE,,,
D047,Apple Pie (klassisch),Dessert,FALSE,FALSE,,,
D048,Apfel-Sellerie-Salat (Waldorf-Art),Salat,FALSE,FALSE,,,
D049,Auberginen-Dip (Baba Ghanoush),Vorspeise,FALSE,FALSE,,,
D050,Ajvar-Pasta (vegetarisch),Pasta,FALSE,FALSE,,,
D051,Arepas (Käsefüllung),Hauptgericht (vegetarisch),FALSE,FALSE,,,
D052,Arepas (Hähnchenfüllung),Hauptgericht,FALSE,FALSE,,,
D053,Asam Laksa (malaysisch),Suppe,FALSE,FALSE,,,
D054,Asado (Rind),Hauptgericht,FALSE,FALSE,,,
D055,Asado (Schwein),Hauptgericht,FALSE,FALSE,,,
D056,Backkartoffeln (mit Quark),Hauptgericht,FALSE,FALSE,,,
D057,Backkartoffeln (mit Kräuterbutter),Hauptgericht,FALSE,FALSE,,,
D058,Baguette belegt (Tomate-Mozzarella),Snack,FALSE,FALSE,,,
D059,Baguette belegt (Schinken-Käse),Snack,FALSE,FALSE,,,
D060,"Baked Beans (klassisch, englisch)",Beilage,FALSE,FALSE,,,
D061,Bauernfrühstück (mit Speck & Ei),Frühstück,FALSE,FALSE,,,
D062,Bauernfrühstück (vegetarisch),Frühstück,FALSE,FALSE,,,
D063,Blumenkohlsuppe (klassisch),Suppe,FALSE,FALSE,,,
D064,"Blumenkohlsuppe (vegan, Kokosmilch)",Suppe,FALSE,FALSE,,,
D065,Bratkartoffeln (mit Zwiebeln),Beilage,FALSE,FALSE,,,
D066,Bratkartoffeln (mit Speck),Beilage,FALSE,FALSE,,,
D067,"Burger (Rindfleisch, klassisch)",Hauptgericht,FALSE,FALSE,,,
D068,"Burger (Gemüsepatty, vegetarisch)",Hauptgericht (vegetarisch),FALSE,FALSE,,,
D069,Bratwurst mit Sauerkraut,Hauptgericht,FALSE,FALSE,,,
D070,Bratwurst im Brötchen,Snack,FALSE,FALSE,,,
D071,Bruschetta (Tomate),Vorspeise,FALSE,FALSE,,,
D072,Bruschetta (Pilze),Vorspeise,FALSE,FALSE,,,
D073,Brokkoli-Auflauf (klassisch),Hauptgericht,FALSE,FALSE,,,
D074,Brokkoli-Auflauf (vegan),Hauptgericht (vegan),FALSE,FALSE,,,
D075,Bohnensuppe (deutsch),Suppe,FALSE,FALSE,,,
D076,Bohnensuppe (mexikanisch),Suppe,FALSE,FALSE,,,
D077,Bircher Müsli (klassisch),Frühstück,FALSE,FALSE,,,
D078,Bircher Müsli (vegan),Frühstück,FALSE,FALSE,,,
D079,Bienenstich (klassisch),Dessert,FALSE,FALSE,,,
D080,Bienenstich (mit Sahnefüllung),Dessert,FALSE,FALSE,,,
D081,Blätterteigtaschen (Spinat-Feta),Snack,FALSE,FALSE,,,
D082,Blätterteigtaschen (Apfel-Zimt),Snack,FALSE,FALSE,,,
D083,Blätterteigpizza (schnell),Snack,FALSE,FALSE,,,
D084,Blechkuchen (Pflaumen),Dessert,FALSE,FALSE,,,
D085,Blechkuchen (Apfel-Streusel),Dessert,FALSE,FALSE,,,
D086,"Blattsalat (klassisch, gemischt)",Salat,FALSE,FALSE,,,
D087,Blattsalat (mit Hähnchenstreifen),Salat,FALSE,FALSE,,,
D088,"Bohnensalat (grün, klassisch)",Salat,FALSE,FALSE,,,
D089,Bohnensalat (mit Thunfisch),Salat,FALSE,FALSE,,,
D090,Bouillon (klare Suppe),Suppe,FALSE,FALSE,,,
D091,"Brotzeit (klassisch, mit Wurst & Käse)",Snack,FALSE,FALSE,,,
D092,"Brotzeit (vegetarisch, mit Käse & Gemüse)",Snack,FALSE,FALSE,,,
D093,Brezeln (selbstgemacht),Snack,FALSE,FALSE,,,
D094,"Brezeln (gefüllt, Käse-Schinken)",Snack,FALSE,FALSE,,,
D095,"Bulgursalat (leicht, mediterran)",Salat,FALSE,FALSE,,,
D096,Bulgursalat (mit Feta & Gemüse),Salat,FALSE,FALSE,,,
D097,Bulgursuppe (Ezo Gelin),Suppe,FALSE,FALSE,,,
D098,"Buletten (klassisch, Rind)",Hauptgericht,FALSE,FALSE,,,
D099,"Buletten (vegetarisch, Linsen)",Hauptgericht (vegetarisch),FALSE,FALSE,,,
D100,Butterkuchen (Hefeteig),Dessert,FALSE,FALSE,,,
D101,Butterkekse (klassisch),Dessert,FALSE,FALSE,,,
D102,Buttermilch-Pfannkuchen,Dessert,FALSE,FALSE,,,
D103,"Blumenkohlauflauf (klassisch, mit Käse)",Hauptgericht,FALSE,FALSE,,,
D104,"Blumenkohlauflauf (vegan, mit Sojasahne)",Hauptgericht (vegan),FALSE,FALSE,,,
D105,Blutwurst mit Sauerkraut,Hauptgericht,FALSE,FALSE,,,
D106,Bratwurstgulasch,Hauptgericht,FALSE,FALSE,,,
D107,Brokkoli-Curry (vegetarisch),Hauptgericht (vegetarisch),FALSE,FALSE,,,
D108,Brokkoli-Curry (mit Huhn),Hauptgericht,FALSE,FALSE,,,
D109,"Bohneneintopf (klassisch, deutsch)",Suppe,FALSE,FALSE,,,
D110,Bohneneintopf (mit Rind),Suppe,FALSE,FALSE,,,
D111,Burgunderbraten (Rind),Hauptgericht,FALSE,FALSE,,,
D112,Burgunderbraten (Schwein),Hauptgericht,FALSE,FALSE,,,
D113,Basmatipfanne (mit Gemüse),Hauptgericht (vegetarisch),FALSE,FALSE,,,
D114,Basmatipfanne (mit Huhn),Hauptgericht,FALSE,FALSE,,,
D115,Chili con Carne,Hauptgericht,TRUE,TRUE,,,
D116,Carbonara (klassisch),Hauptgericht,TRUE,FALSE,,,
D117,Currywurst mit Kartoffelecken,Hauptgericht,TRUE,FALSE,,,
D118,Cevapcici mit Reis,Hauptgericht,TRUE,FALSE,,,
D119,Cordon Bleu (Hähnchen),Hauptgericht,FALSE,FALSE,,,
D120,Champignonrahm-Geschnetzeltes,Hauptgericht,FALSE,FALSE,,,
D121,Curry-Geschnetzeltes mit Reis,Hauptgericht,TRUE,TRUE,,,
D122,Caesar Salad (mit Hähnchen),Hauptgericht,TRUE,FALSE,,,
D123,Chili sin Carne,Hauptgericht,TRUE,TRUE,,,
D124,Cremige Tomaten-Pasta,Hauptgericht,TRUE,TRUE,,,
D125,Curry-Kartoffel-Pfanne,Hauptgericht,TRUE,TRUE,,,
D126,Crêpes,Snack,TRUE,FALSE,,,
D127,Dorade mit Ofengemüse,Hauptgericht,,,,,
D128,Djuvec-Reis mit Hähnchen,Hauptgericht,,,,,
D129,Dinkelpfanne mit Gemüse und Ei,Hauptgericht,,,,,
D130,Dorschfilet mit Rahmspinat und Kartoffeln,Hauptgericht,,,,,
D131,Döner-Teller,Hauptgericht,,,,,
D132,Dampfnudeln mit Vanillesoße,Hauptgericht,,,,,
D133,Dinkelauflauf mit Spinat und Feta,Hauptgericht,,,,,
D134,Dorschfilet in Tomatensoße,Hauptgericht,,,,,
D135,Döner-Pfanne mit Paprika und Reis,Hauptgericht,,,,,
D136,Dinkel-Gemüse-Auflauf,Hauptgericht,,,,,
D137,Eier in Senfsoße mit Kartoffeln,Hauptgericht,,,,,
D138,Eiersalat mit Brot,Snack,,,,,
D139,Eieromelett mit Gemüse,Hauptgericht,,,,,
D140,Eintopf mit Rindfleisch und Gemüse,Hauptgericht,,,,,
D141,Erbsensuppe mit Speck,Hauptgericht,,,,,
D142,Erbsenrisotto,Hauptgericht,,,,,
D143,Enchiladas mit Hackfleisch und Käse,Hauptgericht,,,,,
D144,Entenbrust mit Rotkohl und Knödeln,Hauptgericht,,,,,
D145,Eiernudeln mit Gemüse und Sojasoße,Hauptgericht,,,,,
D146,Erbsen-Kartoffel-Püree mit Fischstäbchen,Hauptgericht,,,,,
D147,Fischstäbchen mit Kartoffelpüree und Erbsen,Hauptgericht,,,,,
D148,Frikadellen mit Kartoffelsalat,Hauptgericht,,,,,
D149,Frittata mit Gemüse und Käse,Hauptgericht,,,,,
D150,Fischfilet mit Spinat und Kartoffeln,Hauptgericht,,,,,
D151,Fleischkäse mit Spiegelei und Bratkartoffeln,Hauptgericht,,,,,
D152,Farfalle (Nudeln) mit Lachs und Spinat,Hauptgericht,,,,,
D153,Fajitas mit Hähnchen und Paprika,Hauptgericht,,,,,
D154,Fenchelauflauf mit Kartoffeln und Käse,Hauptgericht,,,,,
D155,Fischcurry mit Kokosmilch und Gemüse,Hauptgericht,,,,,
D156,Flammkuchen mit Speck und Zwiebeln,Hauptgericht,,,,,
D157,Rindergulasch mit Nudeln,Hauptgericht,,,,,
D158,Grünkohl mit Bregenwurst und Kartoffeln,Hauptgericht,,,,,
D159,Gemüselasagne,Hauptgericht,,,,,
D160,Gefüllte Paprika mit Hackfleisch und Reis,Hauptgericht,,,,,
D161,Gemüsepfanne mit Tofu,Hauptgericht,,,,,
D162,Gnocchi mit Spinat und Lachs,Hauptgericht,,,,,
D163,Grillhähnchen mit Pommes,Hauptgericht,,,,,
D164,Gemüseauflauf mit Feta,Hauptgericht,,,,,
D165,Gyros mit Reis und Zaziki,Hauptgericht,,,,,
D166,Grießbrei mit Kirschen,Hauptgericht,,,,,
D167,Hackbraten mit Kartoffelpüree und Erbsen,Hauptgericht,,,,,
D168,Hackfleisch-Lasagne,Hauptgericht,,,,,
D169,Hähnchen-Curry mit Reis,Hauptgericht,,,,,
D170,Hühnersuppe mit Nudeln,Hauptgericht,,,,,
D171,Hackpfanne mit Gemüse und Reis,Hauptgericht,,,,,
D172,Hähnchenschenkel mit Ofenkartoffeln und Gemüse,Hauptgericht,,,,,
D173,Hering in Sahnesoße mit Kartoffeln,Hauptgericht,,,,,
D174,Hirschgulasch mit Spätzle,Hauptgericht,,,,,
D175,Holzfällersteak mit Bratkartoffeln,Hauptgericht,,,,,
D176,Hefeklöße mit Vanillesoße und Pflaumen,Hauptgericht,,,,,
D177,Ingwer-Hähnchen mit Reis und Gemüse,Hauptgericht,,,,,
D178,Italienischer Nudelsalat mit Schinken und Käse,Hauptgericht,,,,,
D179,Indisches Linsencurry mit Reis,Hauptgericht,,,,,
D180,Italienische Lasagne mit Hackfleisch,Hauptgericht,,,,,
D181,Ingwer-Gemüsepfanne mit Tofu,Hauptgericht,,,,,
D182,Italienische Reispfanne mit Hähnchen,Hauptgericht,,,,,
